Sigla UF,UF,Admissões,Desligamentos,Saldo,Bolsa Familia,Ano,CadUnico,Faixa Etária,Categoria,Grau de Instrução,Raça/Cor,Setor Econômico,Sexo,Situação de Pobreza
RJ,Rio de Janeiro,3266,3151,115,,2024,,,,Analfabeto,,,,
RN,Rio Grande do Norte,1658,1500,158,,2024,,,,Analfabeto,,,,
RS,Rio Grande do Sul,4878,4527,351,,2024,,,,Analfabeto,,,,
RO,Rondônia,855,718,137,,2024,,,,Analfabeto,,,,
RR,Roraima,235,246,-11,,2024,,,,Analfabeto,,,,
SC,Santa Catarina,12843,12366,477,,2024,,,,Analfabeto,,,,
SP,São Paulo,28297,26063,2234,,2024,,,,Analfabeto,,,,
SE,Sergipe,637,717,-80,,2024,,,,Analfabeto,,,,
TO,Tocantins,540,583,-43,,2024,,,,Analfabeto,,,,
Não informado,Não informado,815,369,446,,2024,,,,Analfabeto,,,,
AC,Acre,857,812,45,,2024,,,,Até 5º incompleto,,,,
AL,Alagoas,11463,12113,-650,,2024,,,,Até 5º incompleto,,,,
AP,Amapá,538,458,80,,2024,,,,Até 5º incompleto,,,,
AM,Amazonas,2013,2044,-31,,2024,,,,Até 5º incompleto,,,,
BA,Bahia,19996,20527,-531,,2024,,,,Até 5º incompleto,,,,
CE,Ceará,11275,11070,205,,2024,,,,Até 5º incompleto,,,,
DF,Distrito Federal,5037,5063,-26,,2024,,,,Até 5º incompleto,,,,
ES,Espírito Santo,10924,10789,135,,2024,,,,Até 5º incompleto,,,,
GO,Goiás,21525,21307,218,,2024,,,,Até 5º incompleto,,,,
MA,Maranhão,4292,4839,-547,,2024,,,,Até 5º incompleto,,,,
MT,Mato Grosso,17659,17271,388,,2024,,,,Até 5º incompleto,,,,
MS,Mato Grosso do Sul,11313,11071,242,,2024,,,,Até 5º incompleto,,,,
MG,Minas Gerais,62353,62339,14,,2024,,,,Até 5º incompleto,,,,
PA,Pará,10984,11747,-763,,2024,,,,Até 5º incompleto,,,,
PB,Paraíba,7486,7501,-15,,2024,,,,Até 5º incompleto,,,,
PR,Paraná,32431,31120,1311,,2024,,,,Até 5º incompleto,,,,
PE,Pernambuco,22569,23575,-1006,,2024,,,,Até 5º incompleto,,,,
PI,Piauí,3647,3802,-155,,2024,,,,Até 5º incompleto,,,,
RJ,Rio de Janeiro,20525,20483,42,,2024,,,,Até 5º incompleto,,,,
RN,Rio Grande do Norte,6909,6409,500,,2024,,,,Até 5º incompleto,,,,
RS,Rio Grande do Sul,26827,26433,394,,2024,,,,Até 5º incompleto,,,,
RO,Rondônia,2848,2889,-41,,2024,,,,Até 5º incompleto,,,,
RR,Roraima,600,443,157,,2024,,,,Até 5º incompleto,,,,
SC,Santa Catarina,23964,22602,1362,,2024,,,,Até 5º incompleto,,,,
SP,São Paulo,103733,105301,-1568,,2024,,,,Até 5º incompleto,,,,
SE,Sergipe,5392,5528,-136,,2024,,,,Até 5º incompleto,,,,
TO,Tocantins,1999,2334,-335,,2024,,,,Até 5º incompleto,,,,
Não informado,Não informado,3588,1726,1862,,2024,,,,Até 5º incompleto,,,,
AC,Acre,12,9,3,,2024,,,,Doutorado,,,,
AL,Alagoas,65,78,-13,,2024,,,,Doutorado,,,,
AP,Amapá,11,10,1,,2024,,,,Doutorado,,,,
AM,Amazonas,155,152,3,,2024,,,,Doutorado,,,,
BA,Bahia,400,433,-33,,2024,,,,Doutorado,,,,
CE,Ceará,404,405,-1,,2024,,,,Doutorado,,,,
DF,Distrito Federal,787,458,329,,2024,,,,Doutorado,,,,
ES,Espírito Santo,164,185,-21,,2024,,,,Doutorado,,,,
GO,Goiás,340,356,-16,,2024,,,,Doutorado,,,,
MA,Maranhão,85,108,-23,,2024,,,,Doutorado,,,,
MT,Mato Grosso,181,198,-17,,2024,,,,Doutorado,,,,
MS,Mato Grosso do Sul,129,140,-11,,2024,,,,Doutorado,,,,
MG,Minas Gerais,2036,2153,-117,,2024,,,,Doutorado,,,,
PA,Pará,180,159,21,,2024,,,,Doutorado,,,,
PB,Paraíba,133,207,-74,,2024,,,,Doutorado,,,,
PR,Paraná,977,1187,-210,,2024,,,,Doutorado,,,,
PE,Pernambuco,395,452,-57,,2024,,,,Doutorado,,,,
PI,Piauí,76,75,1,,2024,,,,Doutorado,,,,
RJ,Rio de Janeiro,1298,1518,-220,,2024,,,,Doutorado,,,,
RN,Rio Grande do Norte,285,184,101,,2024,,,,Doutorado,,,,
RS,Rio Grande do Sul,839,1088,-249,,2024,,,,Doutorado,,,,
RO,Rondônia,41,70,-29,,2024,,,,Doutorado,,,,
RR,Roraima,8,21,-13,,2024,,,,Doutorado,,,,
SC,Santa Catarina,578,615,-37,,2024,,,,Doutorado,,,,
SP,São Paulo,6051,6132,-81,,2024,,,,Doutorado,,,,
SE,Sergipe,65,75,-10,,2024,,,,Doutorado,,,,
TO,Tocantins,48,65,-17,,2024,,,,Doutorado,,,,
Não informado,Não informado,1,0,1,,2024,,,,Doutorado,,,,
AC,Acre,2433,2244,189,,2024,,,,Fundamental completo,,,,
AL,Alagoas,11651,11214,437,,2024,,,,Fundamental completo,,,,
AP,Amapá,3360,2183,1177,,2024,,,,Fundamental completo,,,,
AM,Amazonas,10024,9592,432,,2024,,,,Fundamental completo,,,,
BA,Bahia,42174,43631,-1457,,2024,,,,Fundamental completo,,,,
CE,Ceará,38198,37283,915,,2024,,,,Fundamental completo,,,,
DF,Distrito Federal,21022,21240,-218,,2024,,,,Fundamental completo,,,,
ES,Espírito Santo,40939,40006,933,,2024,,,,Fundamental completo,,,,
GO,Goiás,62595,62421,174,,2024,,,,Fundamental completo,,,,
MA,Maranhão,16936,17535,-599,,2024,,,,Fundamental completo,,,,
MT,Mato Grosso,42696,42637,59,,2024,,,,Fundamental completo,,,,
MS,Mato Grosso do Sul,32119,32858,-739,,2024,,,,Fundamental completo,,,,
MG,Minas Gerais,196058,196851,-793,,2024,,,,Fundamental completo,,,,
PA,Pará,40790,40722,68,,2024,,,,Fundamental completo,,,,
PB,Paraíba,11698,11861,-163,,2024,,,,Fundamental completo,,,,
PR,Paraná,150321,143619,6702,,2024,,,,Fundamental completo,,,,
PE,Pernambuco,32711,32692,19,,2024,,,,Fundamental completo,,,,
PI,Piauí,12428,12250,178,,2024,,,,Fundamental completo,,,,
RJ,Rio de Janeiro,101333,103932,-2599,,2024,,,,Fundamental completo,,,,
RN,Rio Grande do Norte,13098,12440,658,,2024,,,,Fundamental completo,,,,
RS,Rio Grande do Sul,147253,144972,2281,,2024,,,,Fundamental completo,,,,
RO,Rondônia,6525,6896,-371,,2024,,,,Fundamental completo,,,,
RR,Roraima,2631,2362,269,,2024,,,,Fundamental completo,,,,
SC,Santa Catarina,149993,142889,7104,,2024,,,,Fundamental completo,,,,
SP,São Paulo,501367,499205,2162,,2024,,,,Fundamental completo,,,,
SE,Sergipe,6693,6756,-63,,2024,,,,Fundamental completo,,,,
TO,Tocantins,5443,5713,-270,,2024,,,,Fundamental completo,,,,
Não informado,Não informado,6042,2631,3411,,2024,,,,Fundamental completo,,,,
AC,Acre,40726,35437,5289,,2024,,,,Médio completo,,,,
AL,Alagoas,133150,115181,17969,,2024,,,,Médio completo,,,,
AP,Amapá,36102,29343,6759,,2024,,,,Médio completo,,,,
AM,Amazonas,229128,195728,33400,,2024,,,,Médio completo,,,,
BA,Bahia,704149,628065,76084,,2024,,,,Médio completo,,,,
CE,Ceará,422539,374555,47984,,2024,,,,Médio completo,,,,
DF,Distrito Federal,287861,259258,28603,,2024,,,,Médio completo,,,,
ES,Espírito Santo,354199,328873,25326,,2024,,,,Médio completo,,,,
GO,Goiás,652471,603613,48858,,2024,,,,Médio completo,,,,
MA,Maranhão,193380,175633,17747,,2024,,,,Médio completo,,,,
MT,Mato Grosso,403238,382986,20252,,2024,,,,Médio completo,,,,
MS,Mato Grosso do Sul,249095,239126,9969,,2024,,,,Médio completo,,,,
MG,Minas Gerais,1738730,1625135,113595,,2024,,,,Médio completo,,,,
PA,Pará,319606,284080,35526,,2024,,,,Médio completo,,,,
PB,Paraíba,154744,131257,23487,,2024,,,,Médio completo,,,,
PR,Paraná,1259277,1166901,92376,,2024,,,,Médio completo,,,,
PE,Pernambuco,439937,384744,55193,,2024,,,,Médio completo,,,,
PI,Piauí,94189,83110,11079,,2024,,,,Médio completo,,,,
RJ,Rio de Janeiro,1130511,1005556,124955,,2024,,,,Médio completo,,,,
RN,Rio Grande do Norte,162775,136894,25881,,2024,,,,Médio completo,,,,
RS,Rio Grande do Sul,834055,792809,41246,,2024,,,,Médio completo,,,,
RO,Rondônia,111353,103742,7611,,2024,,,,Médio completo,,,,
RR,Roraima,37102,31864,5238,,2024,,,,Médio completo,,,,
SC,Santa Catarina,1004083,939986,64097,,2024,,,,Médio completo,,,,
SP,São Paulo,5453633,5063098,390535,,2024,,,,Médio completo,,,,
SE,Sergipe,91847,77969,13878,,2024,,,,Médio completo,,,,
TO,Tocantins,95590,87828,7762,,2024,,,,Médio completo,,,,
Não informado,Não informado,27892,10757,17135,,2024,,,,Médio completo,,,,
AC,Acre,2385,2134,251,,2024,,,,Médio incompleto,,,,
AL,Alagoas,10008,8999,1009,,2024,,,,Médio incompleto,,,,
AP,Amapá,2702,2455,247,,2024,,,,Médio incompleto,,,,
AM,Amazonas,11453,10012,1441,,2024,,,,Médio incompleto,,,,
BA,Bahia,64659,59884,4775,,2024,,,,Médio incompleto,,,,
CE,Ceará,30099,27556,2543,,2024,,,,Médio incompleto,,,,
DF,Distrito Federal,26324,24351,1973,,2024,,,,Médio incompleto,,,,
ES,Espírito Santo,51486,47542,3944,,2024,,,,Médio incompleto,,,,
GO,Goiás,85185,78466,6719,,2024,,,,Médio incompleto,,,,
MA,Maranhão,10407,10637,-230,,2024,,,,Médio incompleto,,,,
MT,Mato Grosso,78078,72380,5698,,2024,,,,Médio incompleto,,,,
MS,Mato Grosso do Sul,40327,38146,2181,,2024,,,,Médio incompleto,,,,
MG,Minas Gerais,268317,241130,27187,,2024,,,,Médio incompleto,,,,
PA,Pará,32066,29771,2295,,2024,,,,Médio incompleto,,,,
PB,Paraíba,13295,11322,1973,,2024,,,,Médio incompleto,,,,
PR,Paraná,170204,152868,17336,,2024,,,,Médio incompleto,,,,
PE,Pernambuco,30784,28960,1824,,2024,,,,Médio incompleto,,,,
PI,Piauí,9801,9364,437,,2024,,,,Médio incompleto,,,,
RJ,Rio de Janeiro,108070,97599,10471,,2024,,,,Médio incompleto,,,,
RN,Rio Grande do Norte,17441,14649,2792,,2024,,,,Médio incompleto,,,,
RS,Rio Grande do Sul,174947,160980,13967,,2024,,,,Médio incompleto,,,,
RO,Rondônia,18622,16741,1881,,2024,,,,Médio incompleto,,,,
RR,Roraima,2832,2625,207,,2024,,,,Médio incompleto,,,,
SC,Santa Catarina,173767,152730,21037,,2024,,,,Médio incompleto,,,,
SP,São Paulo,509277,458323,50954,,2024,,,,Médio incompleto,,,,
SE,Sergipe,9017,8397,620,,2024,,,,Médio incompleto,,,,
TO,Tocantins,10803,9569,1234,,2024,,,,Médio incompleto,,,,
Não informado,Não informado,4192,1857,2335,,2024,,,,Médio incompleto,,,,
AC,Acre,35,40,-5,,2024,,,,Mestrado,,,,
AL,Alagoas,390,292,98,,2024,,,,Mestrado,,,,
AP,Amapá,48,38,10,,2024,,,,Mestrado,,,,
AM,Amazonas,542,417,125,,2024,,,,Mestrado,,,,
BA,Bahia,1311,1294,17,,2024,,,,Mestrado,,,,
CE,Ceará,1476,1304,172,,2024,,,,Mestrado,,,,
DF,Distrito Federal,1946,1409,537,,2024,,,,Mestrado,,,,
ES,Espírito Santo,680,724,-44,,2024,,,,Mestrado,,,,
GO,Goiás,1058,1067,-9,,2024,,,,Mestrado,,,,
MA,Maranhão,377,364,13,,2024,,,,Mestrado,,,,
MT,Mato Grosso,533,478,55,,2024,,,,Mestrado,,,,
MS,Mato Grosso do Sul,392,377,15,,2024,,,,Mestrado,,,,
MG,Minas Gerais,5474,5628,-154,,2024,,,,Mestrado,,,,
PA,Pará,666,552,114,,2024,,,,Mestrado,,,,
PB,Paraíba,497,510,-13,,2024,,,,Mestrado,,,,
PR,Paraná,3086,3071,15,,2024,,,,Mestrado,,,,
PE,Pernambuco,1498,1291,207,,2024,,,,Mestrado,,,,
PI,Piauí,313,265,48,,2024,,,,Mestrado,,,,
RJ,Rio de Janeiro,3539,3325,214,,2024,,,,Mestrado,,,,
RN,Rio Grande do Norte,343,315,28,,2024,,,,Mestrado,,,,
RS,Rio Grande do Sul,2608,2768,-160,,2024,,,,Mestrado,,,,
RO,Rondônia,186,206,-20,,2024,,,,Mestrado,,,,
RR,Roraima,58,64,-6,,2024,,,,Mestrado,,,,
SC,Santa Catarina,1942,1865,77,,2024,,,,Mestrado,,,,
SP,São Paulo,13996,13470,526,,2024,,,,Mestrado,,,,
SE,Sergipe,239,211,28,,2024,,,,Mestrado,,,,
TO,Tocantins,142,153,-11,,2024,,,,Mestrado,,,,
Não informado,Não informado,10,2,8,,2024,,,,Mestrado,,,,
AC,Acre,63,76,-13,,2025,,,,5º completo fundamental,,,,
AL,Alagoas,440,1224,-784,,2025,,,,5º completo fundamental,,,,
AP,Amapá,84,60,24,,2025,,,,5º completo fundamental,,,,
AM,Amazonas,241,234,7,,2025,,,,5º completo fundamental,,,,
BA,Bahia,2059,1855,204,,2025,,,,5º completo fundamental,,,,
CE,Ceará,1153,994,159,,2025,,,,5º completo fundamental,,,,
DF,Distrito Federal,771,578,193,,2025,,,,5º completo fundamental,,,,
ES,Espírito Santo,1296,1282,14,,2025,,,,5º completo fundamental,,,,
GO,Goiás,2350,1944,406,,2025,,,,5º completo fundamental,,,,
MA,Maranhão,497,476,21,,2025,,,,5º completo fundamental,,,,
MT,Mato Grosso,1926,1436,490,,2025,,,,5º completo fundamental,,,,
MS,Mato Grosso do Sul,1363,1087,276,,2025,,,,5º completo fundamental,,,,
MG,Minas Gerais,8907,8010,897,,2025,,,,5º completo fundamental,,,,
PA,Pará,1223,1187,36,,2025,,,,5º completo fundamental,,,,
PB,Paraíba,576,869,-293,,2025,,,,5º completo fundamental,,,,
PR,Paraná,4036,3917,119,,2025,,,,5º completo fundamental,,,,
PE,Pernambuco,1610,2016,-406,,2025,,,,5º completo fundamental,,,,
PI,Piauí,347,324,23,,2025,,,,5º completo fundamental,,,,
RJ,Rio de Janeiro,2684,2780,-96,,2025,,,,5º completo fundamental,,,,
RN,Rio Grande do Norte,543,695,-152,,2025,,,,5º completo fundamental,,,,
RS,Rio Grande do Sul,6251,4353,1898,,2025,,,,5º completo fundamental,,,,
RO,Rondônia,311,236,75,,2025,,,,5º completo fundamental,,,,
RR,Roraima,84,38,46,,2025,,,,5º completo fundamental,,,,
SC,Santa Catarina,5007,3340,1667,,2025,,,,5º completo fundamental,,,,
SP,São Paulo,15805,13390,2415,,2025,,,,5º completo fundamental,,,,
SE,Sergipe,334,588,-254,,2025,,,,5º completo fundamental,,,,
TO,Tocantins,216,191,25,,2025,,,,5º completo fundamental,,,,
Não informado,Não informado,43,36,7,,2025,,,,5º completo fundamental,,,,
AC,Acre,73,78,-5,,2025,,,,Pós-graduação completa,,,,
AL,Alagoas,307,356,-49,,2025,,,,Pós-graduação completa,,,,
AP,Amapá,135,90,45,,2025,,,,Pós-graduação completa,,,,
AM,Amazonas,615,482,133,,2025,,,,Pós-graduação completa,,,,
BA,Bahia,1726,1351,375,,2025,,,,Pós-graduação completa,,,,
CE,Ceará,1369,1207,162,,2025,,,,Pós-graduação completa,,,,
DF,Distrito Federal,2201,1413,788,,2025,,,,Pós-graduação completa,,,,
ES,Espírito Santo,1181,1086,95,,2025,,,,Pós-graduação completa,,,,
GO,Goiás,1768,1145,623,,2025,,,,Pós-graduação completa,,,,
MA,Maranhão,420,355,65,,2025,,,,Pós-graduação completa,,,,
MT,Mato Grosso,852,602,250,,2025,,,,Pós-graduação completa,,,,
MS,Mato Grosso do Sul,575,421,154,,2025,,,,Pós-graduação completa,,,,
MG,Minas Gerais,5545,4580,965,,2025,,,,Pós-graduação completa,,,,
PA,Pará,664,546,118,,2025,,,,Pós-graduação completa,,,,
PB,Paraíba,350,276,74,,2025,,,,Pós-graduação completa,,,,
PR,Paraná,4516,3747,769,,2025,,,,Pós-graduação completa,,,,
PE,Pernambuco,1880,1364,516,,2025,,,,Pós-graduação completa,,,,
PI,Piauí,282,231,51,,2025,,,,Pós-graduação completa,,,,
RJ,Rio de Janeiro,4296,3679,617,,2025,,,,Pós-graduação completa,,,,
RN,Rio Grande do Norte,392,351,41,,2025,,,,Pós-graduação completa,,,,
RS,Rio Grande do Sul,3270,2963,307,,2025,,,,Pós-graduação completa,,,,
RO,Rondônia,333,193,140,,2025,,,,Pós-graduação completa,,,,
RR,Roraima,79,48,31,,2025,,,,Pós-graduação completa,,,,
SC,Santa Catarina,3679,3446,233,,2025,,,,Pós-graduação completa,,,,
SP,São Paulo,21002,18088,2914,,2025,,,,Pós-graduação completa,,,,
SE,Sergipe,281,181,100,,2025,,,,Pós-graduação completa,,,,
TO,Tocantins,186,129,57,,2025,,,,Pós-graduação completa,,,,
Não informado,Não informado,2,4,-2,,2025,,,,Pós-graduação completa,,,,
AC,Acre,859,883,-24,,2025,,,,Superior completo,,,,
AL,Alagoas,2505,2572,-67,,2025,,,,Superior completo,,,,
AP,Amapá,812,741,71,,2025,,,,Superior completo,,,,
AM,Amazonas,4146,4081,65,,2025,,,,Superior completo,,,,
BA,Bahia,13153,11836,1317,,2025,,,,Superior completo,,,,
CE,Ceará,9697,9640,57,,2025,,,,Superior completo,,,,
DF,Distrito Federal,12199,9754,2445,,2025,,,,Superior completo,,,,
ES,Espírito Santo,7563,7153,410,,2025,,,,Superior completo,,,,
GO,Goiás,13565,11711,1854,,2025,,,,Superior completo,,,,
MA,Maranhão,4343,3678,665,,2025,,,,Superior completo,,,,
MT,Mato Grosso,8294,6833,1461,,2025,,,,Superior completo,,,,
MS,Mato Grosso do Sul,5426,4517,909,,2025,,,,Superior completo,,,,
MG,Minas Gerais,40552,36243,4309,,2025,,,,Superior completo,,,,
PA,Pará,6979,5747,1232,,2025,,,,Superior completo,,,,
PB,Paraíba,3496,3158,338,,2025,,,,Superior completo,,,,
PR,Paraná,30563,26883,3680,,2025,,,,Superior completo,,,,
PE,Pernambuco,10730,9280,1450,,2025,,,,Superior completo,,,,
PI,Piauí,3325,2641,684,,2025,,,,Superior completo,,,,
RJ,Rio de Janeiro,30877,28235,2642,,2025,,,,Superior completo,,,,
RN,Rio Grande do Norte,3518,3160,358,,2025,,,,Superior completo,,,,
RS,Rio Grande do Sul,21740,19450,2290,,2025,,,,Superior completo,,,,
RO,Rondônia,2000,1920,80,,2025,,,,Superior completo,,,,
RR,Roraima,483,477,6,,2025,,,,Superior completo,,,,
SC,Santa Catarina,26456,22723,3733,,2025,,,,Superior completo,,,,
SP,São Paulo,150935,131990,18945,,2025,,,,Superior completo,,,,
SE,Sergipe,2496,2253,243,,2025,,,,Superior completo,,,,
TO,Tocantins,1847,1620,227,,2025,,,,Superior completo,,,,
Não informado,Não informado,18,15,3,,2025,,,,Superior completo,,,,
AC,Acre,276,347,-71,,2025,,,,Superior incompleto,,,,
AL,Alagoas,1071,1010,61,,2025,,,,Superior incompleto,,,,
AP,Amapá,248,252,-4,,2025,,,,Superior incompleto,,,,
AM,Amazonas,1619,1534,85,,2025,,,,Superior incompleto,,,,
BA,Bahia,4850,4557,293,,2025,,,,Superior incompleto,,,,
CE,Ceará,4790,4503,287,,2025,,,,Superior incompleto,,,,
DF,Distrito Federal,4589,3866,723,,2025,,,,Superior incompleto,,,,
ES,Espírito Santo,3539,3489,50,,2025,,,,Superior incompleto,,,,
GO,Goiás,6203,5686,517,,2025,,,,Superior incompleto,,,,
MA,Maranhão,1205,1113,92,,2025,,,,Superior incompleto,,,,
MT,Mato Grosso,4148,3772,376,,2025,,,,Superior incompleto,,,,
MS,Mato Grosso do Sul,2559,2446,113,,2025,,,,Superior incompleto,,,,
MG,Minas Gerais,17553,17069,484,,2025,,,,Superior incompleto,,,,
PA,Pará,2142,2003,139,,2025,,,,Superior incompleto,,,,
PB,Paraíba,1688,1587,101,,2025,,,,Superior incompleto,,,,
PR,Paraná,17200,15727,1473,,2025,,,,Superior incompleto,,,,
PE,Pernambuco,4127,3543,584,,2025,,,,Superior incompleto,,,,
PI,Piauí,1077,946,131,,2025,,,,Superior incompleto,,,,
RJ,Rio de Janeiro,11460,11034,426,,2025,,,,Superior incompleto,,,,
RN,Rio Grande do Norte,1171,1200,-29,,2025,,,,Superior incompleto,,,,
RS,Rio Grande do Sul,16896,15519,1377,,2025,,,,Superior incompleto,,,,
RO,Rondônia,1200,1121,79,,2025,,,,Superior incompleto,,,,
RR,Roraima,238,204,34,,2025,,,,Superior incompleto,,,,
SC,Santa Catarina,15997,14489,1508,,2025,,,,Superior incompleto,,,,
SP,São Paulo,56449,52315,4134,,2025,,,,Superior incompleto,,,,
SE,Sergipe,928,855,73,,2025,,,,Superior incompleto,,,,
TO,Tocantins,970,853,117,,2025,,,,Superior incompleto,,,,
Não informado,Não informado,17,14,3,,2025,,,,Superior incompleto,,,,
AL,Alagoas,1,3,-2,,2025,,,,Não identificado,,,,
AP,Amapá,1,2,-1,,2025,,,,Não identificado,,,,
AM,Amazonas,0,2,-2,,2025,,,,Não identificado,,,,
BA,Bahia,6,6,0,,2025,,,,Não identificado,,,,
CE,Ceará,5,9,-4,,2025,,,,Não identificado,,,,
DF,Distrito Federal,8,5,3,,2025,,,,Não identificado,,,,
ES,Espírito Santo,3,2,1,,2025,,,,Não identificado,,,,
GO,Goiás,10,21,-11,,2025,,,,Não identificado,,,,
MA,Maranhão,1,3,-2,,2025,,,,Não identificado,,,,
MT,Mato Grosso,3,11,-8,,2025,,,,Não identificado,,,,
MS,Mato Grosso do Sul,0,8,-8,,2025,,,,Não identificado,,,,
MG,Minas Gerais,8,37,-29,,2025,,,,Não identificado,,,,
PA,Pará,1,4,-3,,2025,,,,Não identificado,,,,
PB,Paraíba,0,6,-6,,2025,,,,Não identificado,,,,
PR,Paraná,8,20,-12,,2025,,,,Não identificado,,,,
PE,Pernambuco,3,16,-13,,2025,,,,Não identificado,,,,
PI,Piauí,1,4,-3,,2025,,,,Não identificado,,,,
RJ,Rio de Janeiro,4,24,-20,,2025,,,,Não identificado,,,,
RN,Rio Grande do Norte,1,2,-1,,2025,,,,Não identificado,,,,
RS,Rio Grande do Sul,9,14,-5,,2025,,,,Não identificado,,,,
RO,Rondônia,1,2,-1,,2025,,,,Não identificado,,,,
RR,Roraima,1,2,-1,,2025,,,,Não identificado,,,,
SC,Santa Catarina,11,23,-12,,2025,,,,Não identificado,,,,
SP,São Paulo,40,129,-89,,2025,,,,Não identificado,,,,
SE,Sergipe,0,1,-1,,2025,,,,Não identificado,,,,
TO,Tocantins,1,6,-5,,2025,,,,Não identificado,,,,
AC,Acre,207,167,40,,2025,,,,6º a 9º fundamental,,,,
AL,Alagoas,1078,2417,-1339,,2025,,,,6º a 9º fundamental,,,,
AP,Amapá,207,175,32,,2025,,,,6º a 9º fundamental,,,,
AM,Amazonas,910,958,-48,,2025,,,,6º a 9º fundamental,,,,
BA,Bahia,6544,5981,563,,2025,,,,6º a 9º fundamental,,,,
CE,Ceará,4291,3917,374,,2025,,,,6º a 9º fundamental,,,,
DF,Distrito Federal,2127,1925,202,,2025,,,,6º a 9º fundamental,,,,
ES,Espírito Santo,5175,4956,219,,2025,,,,6º a 9º fundamental,,,,
GO,Goiás,8772,7170,1602,,2025,,,,6º a 9º fundamental,,,,
MA,Maranhão,1674,1684,-10,,2025,,,,6º a 9º fundamental,,,,
MT,Mato Grosso,7677,5142,2535,,2025,,,,6º a 9º fundamental,,,,
MS,Mato Grosso do Sul,5150,4271,879,,2025,,,,6º a 9º fundamental,,,,
MG,Minas Gerais,24622,21775,2847,,2025,,,,6º a 9º fundamental,,,,
PA,Pará,3796,4060,-264,,2025,,,,6º a 9º fundamental,,,,
PB,Paraíba,1674,2187,-513,,2025,,,,6º a 9º fundamental,,,,
PR,Paraná,15392,13833,1559,,2025,,,,6º a 9º fundamental,,,,
PE,Pernambuco,4270,4637,-367,,2025,,,,6º a 9º fundamental,,,,
PI,Piauí,1146,1059,87,,2025,,,,6º a 9º fundamental,,,,
RJ,Rio de Janeiro,9645,9868,-223,,2025,,,,6º a 9º fundamental,,,,
RN,Rio Grande do Norte,1799,2061,-262,,2025,,,,6º a 9º fundamental,,,,
RS,Rio Grande do Sul,29919,20245,9674,,2025,,,,6º a 9º fundamental,,,,
RO,Rondônia,1240,1116,124,,2025,,,,6º a 9º fundamental,,,,
RR,Roraima,312,177,135,,2025,,,,6º a 9º fundamental,,,,
SC,Santa Catarina,16706,13087,3619,,2025,,,,6º a 9º fundamental,,,,
SP,São Paulo,40479,35992,4487,,2025,,,,6º a 9º fundamental,,,,
SE,Sergipe,1060,1470,-410,,2025,,,,6º a 9º fundamental,,,,
TO,Tocantins,956,742,214,,2025,,,,6º a 9º fundamental,,,,
Não informado,Não informado,78,51,27,,2025,,,,6º a 9º fundamental,,,,
AC,Acre,21,39,-18,,2025,,,,Analfabeto,,,,
AL,Alagoas,161,1039,-878,,2025,,,,Analfabeto,,,,
AP,Amapá,27,44,-17,,2025,,,,Analfabeto,,,,
AM,Amazonas,127,94,33,,2025,,,,Analfabeto,,,,
BA,Bahia,605,629,-24,,2025,,,,Analfabeto,,,,
CE,Ceará,479,407,72,,2025,,,,Analfabeto,,,,
DF,Distrito Federal,209,194,15,,2025,,,,Analfabeto,,,,
ES,Espírito Santo,292,286,6,,2025,,,,Analfabeto,,,,
GO,Goiás,650,643,7,,2025,,,,Analfabeto,,,,
MA,Maranhão,172,211,-39,,2025,,,,Analfabeto,,,,
MT,Mato Grosso,751,554,197,,2025,,,,Analfabeto,,,,
MS,Mato Grosso do Sul,507,444,63,,2025,,,,Analfabeto,,,,
MG,Minas Gerais,2159,2378,-219,,2025,,,,Analfabeto,,,,
PA,Pará,375,392,-17,,2025,,,,Analfabeto,,,,
PB,Paraíba,214,558,-344,,2025,,,,Analfabeto,,,,
PR,Paraná,2433,1885,548,,2025,,,,Analfabeto,,,,
PE,Pernambuco,540,948,-408,,2025,,,,Analfabeto,,,,
PI,Piauí,105,105,0,,2025,,,,Analfabeto,,,,
RJ,Rio de Janeiro,600,567,33,,2025,,,,Analfabeto,,,,
RN,Rio Grande do Norte,262,348,-86,,2025,,,,Analfabeto,,,,
RS,Rio Grande do Sul,1203,822,381,,2025,,,,Analfabeto,,,,
RO,Rondônia,180,138,42,,2025,,,,Analfabeto,,,,
RR,Roraima,121,138,-17,,2025,,,,Analfabeto,,,,
SC,Santa Catarina,2808,2365,443,,2025,,,,Analfabeto,,,,
SP,São Paulo,5746,4860,886,,2025,,,,Analfabeto,,,,
SE,Sergipe,68,156,-88,,2025,,,,Analfabeto,,,,
TO,Tocantins,94,109,-15,,2025,,,,Analfabeto,,,,
Não informado,Não informado,8,3,5,,2025,,,,Analfabeto,,,,
AC,Acre,126,132,-6,,2025,,,,Até 5º incompleto,,,,
AL,Alagoas,835,3344,-2509,,2025,,,,Até 5º incompleto,,,,
AP,Amapá,100,95,5,,2025,,,,Até 5º incompleto,,,,
AM,Amazonas,430,331,99,,2025,,,,Até 5º incompleto,,,,
BA,Bahia,4338,3502,836,,2025,,,,Até 5º incompleto,,,,
CE,Ceará,1907,1639,268,,2025,,,,Até 5º incompleto,,,,
DF,Distrito Federal,1027,886,141,,2025,,,,Até 5º incompleto,,,,
ES,Espírito Santo,1803,1747,56,,2025,,,,Até 5º incompleto,,,,
GO,Goiás,3942,3091,851,,2025,,,,Até 5º incompleto,,,,
